OBJECTID_1,NBHD_NAME,GLOBALID,avgsocioeconscore,avgAccessToCareScore,avgMobidityScore,mortalityscore,avgBuiltEnvScore,avgOverallEquityScore,Shape__Area,Shape__Length
1,Auraria,87c9a88b-4a1a-48ed-ae2d-32b24d0f2c99,5,3.5,3,5,4.5,4.19999981,17995319.08,17704.8482
2,Cory - Merrill,b14d96b6-ba70-4443-acdc-8728d9233d41,5,5,3,4,2.5,3.9000001,23391660.32,19901.61524
3,Belcaro,34ad8acd-5ffe-404b-a4e8-d8da5c87f55e,5,4.5,4.5,5,3.5,4.5,32480739.82,24881.039
4,Washington Park,d548a714-1296-4cbe-a397-8e3ba67b1bf9,5,5,3.5,5,2.5,4.19999981,42112769.9,30834.6169
5,Washington Park West,abbb13fd-0259-4efa-9403-6a2389a57b67,5,5,4,4,3,4.19999981,24327691.97,22033.045
6,Speer,3b78884a-d1dd-4791-898b-c07a2976bdf3,4,3.5,3,2,3.5,3.20000005,23807849.4,19917.38041
7,Cherry Creek,c08029bd-337f-4f9a-bcfe-6f3d56e24cfe,4.5,4,3,5,3.5,4,23328242.98,20181.13352
8,Country Club,35e98cc7-b67d-4de6-9159-903377a1de88,5,5,5,4,4.5,4.69999981,18103922.29,17113.19382
9,Congress Park,5f99fbbf-e7ee-46b2-8daf-52302c2ff874,4.5,4.5,3,3,2.5,3.5,28693595.6,21415.60109
10,City Park,6a412e5a-bc48-483e-8893-876e4bd311b7,3.5,4,3,5,4,3.9000001,21423593.97,18660.41673
11,Marston,4e31091b-457c-4000-a249-87fc4f780206,4,4,3,5,2,3.5999999,88380521.54,76918.45519
12,Fort Logan,061254e6-cb53-4b60-bf1e-abd953c43979,3,3,2,4,1.5,2.70000005,73912996.94,51894.85219
13,Washington Virginia Vale,c1e3511d-1054-4477-9059-c70fa92053d4,2.5,3,3,4,3.5,3.20000005,51395169.76,43845.03027
14,Barnum,ae55c467-f15e-478c-b789-4f79e22e4020,1,2,3,2,2,2,21507882.62,18715.21993
15,Barnum West,e39afff3-c27d-40b5-ab76-2fececa61f11,1.5,1.5,2.5,3,1,1.89999998,20179221.65,18309.07406
16,West Colfax,5fb1c9c3-0ec4-4025-a569-c2ced64a61bd,1.5,2,1.5,1,3,1.79999995,28049791.39,24602.83679
17,West Highland,404d895f-3820-4d71-90f9-e602a6d06c7e,4,4.5,3.5,4,3,3.79999995,31298250.48,23646.85594
18,Sloan Lake,ba37f8d2-5e7e-40ee-9e1e-dc2c77e7dbc5,2.5,4,2,3,4,3.0999999,39011057.36,26370.19448
19,Berkeley,dab8fcd1-fa9d-45fa-a7b5-b3090fc356fa,3.5,4,3,3,4,3.5,41763196.97,26780.90664
20,Regis,d87a4d66-06ef-4a4f-aefa-3a853754cecf,2.5,3.5,1.5,2,2.5,2.4000001,28420025.27,28812.11239
21,Chaffee Park,514450c0-8a6b-4a07-a181-0ef809aba61f,3,3,2.5,3,4,3.0999999,21894089.99,23463.15356
22,Highland,5c80a009-cc67-473d-b66d-852ace10f688,3.5,4,3,2,3,3.0999999,32140439.73,23553.95699
23,Athmar Park,cf82ba85-16dc-4d4d-aa30-f237400ccfa6,1,2,3,3,2.5,2.29999995,43089152.53,27352.28641
24,Wellshire,74a8a0be-e6bf-409a-b0f2-bb4864dfced7,5,5,3,5,2.5,4.0999999,25890596.32,21769.19039
25,University,0881cb54-5bb1-42f8-a3c9-c6fea661d5ef,4,3,4.5,4,2.5,3.5999999,34746627.69,27978.2495
26,Rosedale,9c864a42-8e6f-48e9-8a59-dea9315e0bdf,4,4,3,4,4.5,3.9000001,15714799.24,15839.83405
27,Cheesman Park,6fac6a5d-729a-463e-9ba9-e0fe5ed65945,4,3.5,3,2,4.5,3.4000001,14682846.39,15276.34365
28,Hilltop,53f0557a-3def-442b-a2da-6cd0dbc0103b,5,4.5,4,5,3,4.30000019,48042249.16,33930.11909
29,Montclair,3f83b666-edfc-4876-acd1-caeb3e5b5997,5,5,3.5,4,3.5,4.19999981,28225487.21,21466.54267
